Metric,Period,Direction,Up_Probability,Fluctuate_Probability
0.001 - 1 BTC_Change,1_Week,Increase,0.4,0.4
0.001 - 1 BTC_Change,1_Week,Decrease,0.0,0.5
0.001 - 1 BTC_Change,1_Month,Increase,0.4,0.4
0.001 - 1 BTC_Change,1_Month,Decrease,0.3,0.3
0.001 - 1 BTC_Change,3_Months,Increase,0.36363636363636365,0.4090909090909091
0.001 - 1 BTC_Change,3_Months,Decrease,0.35294117647058826,0.36764705882352944
0.001 - 1 BTC_Change,Overall,Increase,0.3107104984093319,0.38812301166489926
0.001 - 1 BTC_Change,Overall,Decrease,0.33585858585858586,0.39141414141414144
1 - 10 BTC_Change,1_Week,Increase,0.2,0.6
1 - 10 BTC_Change,1_Week,Decrease,0.5,0.0
1 - 10 BTC_Change,1_Month,Increase,0.35714285714285715,0.2857142857142857
1 - 10 BTC_Change,1_Month,Decrease,0.3125,0.375
1 - 10 BTC_Change,3_Months,Increase,0.3076923076923077,0.3076923076923077
1 - 10 BTC_Change,3_Months,Decrease,0.375,0.40625
1 - 10 BTC_Change,Overall,Increase,0.3150224215246637,0.3867713004484305
1 - 10 BTC_Change,Overall,Decrease,0.32286995515695066,0.39461883408071746
10 - 100 BTC_Change,1_Week,Increase,0.5,0.25
10 - 100 BTC_Change,1_Week,Decrease,0.0,0.6666666666666666
10 - 100 BTC_Change,1_Month,Increase,0.5,0.1875
10 - 100 BTC_Change,1_Month,Decrease,0.14285714285714285,0.5
10 - 100 BTC_Change,3_Months,Increase,0.43243243243243246,0.2972972972972973
10 - 100 BTC_Change,3_Months,Decrease,0.3018867924528302,0.4339622641509434
10 - 100 BTC_Change,Overall,Increase,0.3434343434343434,0.3564213564213564
10 - 100 BTC_Change,Overall,Decrease,0.29102167182662536,0.4241486068111455
100+ BTC_Change,1_Week,Increase,0.0,0.6666666666666666
100+ BTC_Change,1_Week,Decrease,0.5,0.25
100+ BTC_Change,1_Month,Increase,0.25,0.4375
100+ BTC_Change,1_Month,Decrease,0.42857142857142855,0.21428571428571427
100+ BTC_Change,3_Months,Increase,0.3235294117647059,0.4264705882352941
100+ BTC_Change,3_Months,Decrease,0.45454545454545453,0.22727272727272727
100+ BTC_Change,Overall,Increase,0.30758426966292135,0.4143258426966292
100+ BTC_Change,Overall,Decrease,0.33014354066985646,0.36044657097288674
