Metric,Period,Projected_Up_Probability
0.001 - 1 BTC_Change,1_Week,0.2857142857142857
0.001 - 1 BTC_Change,1_Month,0.3333333333333333
0.001 - 1 BTC_Change,3_Months,0.35555555555555557
1 - 10 BTC_Change,1_Week,0.2857142857142857
1 - 10 BTC_Change,1_Month,0.3333333333333333
1 - 10 BTC_Change,3_Months,0.35555555555555557
10 - 100 BTC_Change,1_Week,0.2857142857142857
10 - 100 BTC_Change,1_Month,0.3333333333333333
10 - 100 BTC_Change,3_Months,0.35555555555555557
100+ BTC_Change,1_Week,0.2857142857142857
100+ BTC_Change,1_Month,0.3333333333333333
100+ BTC_Change,3_Months,0.35555555555555557
