time,open,high,low,close,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Shapes,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Chars,Shapes,peak_price,weak_price,grow_price,valley_price,Basis,Upper,Lower,Knn Classifier Line,Average Knn Classifier Line,Volume,Plot,Oversold/Overbought Cross,Histogram,MACD,Signal,Plot,ebb,ebb_highlight,flow,flow_highlight
2017-09-17,3685.23,3748.21,3499.02,3699.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4939.19,3165.13,4124.54,2817,4237.7210000000005,5061.212844377334,3414.2291556226673,3970.1658666666667,NaN,682.17121,35.762231625245676,NaN,NaN,-167.74372073060067,NaN,NaN,44.387975391608705,NaN,32.01913635174748,NaN
2017-09-18,3690,4123.2,3690,4035.01,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4939.19,3165.13,4124.54,2817,4210.097500000001,5021.786273505572,3398.4087264944287,3947.5309555555555,NaN,1030.006455,44.214190637751265,NaN,NaN,-147.84818233025408,NaN,NaN,47.16630180655622,NaN,44.50302558885906,NaN
2017-09-19,4060,4089.97,3830.91,3910.04,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4939.19,3165.13,4124.54,2817,4177.842500000001,4983.369135335517,3372.3158646644843,3945.3139333333334,NaN,902.332129,45.47423160579525,NaN,-39.65296931881514,-140.54474703277174,-100.8917777139566,-474.65432352941207,49.183541771147915,NaN,43.736541740597474,NaN
2017-09-20,3910.04,4046.08,3820,3900,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4939.19,3165.13,4124.54,2817,4136.598,4909.680028392846,3363.5159716071535,3947.4963333333335,NaN,720.935076,39.31518409909565,NaN,-26.50413341530563,-134.02194448308865,-107.51781106778301,-343.2867647058829,49.027459505222346,NaN,42.69069836028545,NaN
2017-09-21,3889.99,3910,3567,3609.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4939.19,3165.13,4124.54,2817,4075.3520000000003,4810.59808113473,3340.1059188652707,3905.7897777777775,NaN,1001.654084,34.078953846010634,NaN,-34.40084866023241,-150.51887189307354,-116.11802323284113,-325.39850000000115,45.42722781367901,NaN,39.53417979666712,NaN
2017-09-22,3592.84,3750,3505.55,3595.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4939.19,3165.13,4124.54,2817,4031.5385,4771.40386813868,3291.6731318613206,3870.1847555555555,NaN,838.966425,35.29826847143066,NaN,-37.38948701974948,-162.85488200752798,-125.4653949877785,-313.10855882353053,44.57111575119643,NaN,36.14971264534959,NaN
2017-09-23,3595.88,3817.19,3542.91,3780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,4939.19,3165.13,4124.54,2817,3995.0845,4708.6181944104255,3281.5508055895743,3839.1775999999995,NaN,752.792791,40.609226749936596,NaN,-24.408098455560236,-155.97551805722878,-131.56741960166855,-345.4244411764712,45.24672278698232,NaN,38.52958179811866,NaN
2017-09-24,3779.54,3789.99,3622.76,3660.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,4939.19,3165.13,4124.54,2817,3973.0799999999995,4699.331412170737,3246.8285878292622,3800.084866666666,NaN,661.63639,40.79984603201274,NaN,-21.449470995647715,-158.3792583462282,-136.92978735058048,-387.13949999999977,46.74090829185468,NaN,37.91350743947581,NaN
2017-09-25,3660.02,3979.87,3653.69,3920.75,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4939.19,3165.13,4124.54,2817,3950.7939999999994,4654.39260563819,3247.1953943618087,3788.0011333333327,NaN,727.994713,40.635018071259715,NaN,-0.583101687891201,-137.65866446044447,-137.07556277255327,-412.28473529411804,47.34037060010808,NaN,44.57593111173302,NaN
2017-09-26,3928,3976.99,3850.05,3882.35,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4939.19,3165.13,4124.54,2817,3913.923,4547.203549049143,3280.6424509508574,3799.9623333333334,NaN,526.727987,45.99696313976679,NaN,11.325194949247674,-122.91906908599367,-134.24426403524134,-370.62411764705985,51.10313420988739,NaN,44.497935004807196,NaN
